,names,scores,logfoldchanges,pvals,Cohort,Drug,Target,Test,CellType,logPval_dir,Treatment
5,PC2,-1.1547005,0.6841115,0.24821307898992362,MOLM-13,GSK343,EZH2,wilcox,PC2,-1.3934677122336503,GSK343 [MOLM-13]
6,LSPC-Quiescent,-1.1547005,-1.1519607,0.24821307898992362,MOLM-13,GSK343,EZH2,wilcox,LSPC-Quiescent,-1.3934677122336503,GSK343 [MOLM-13]
7,cDC-like,-2.020726,-0.2780317,0.043308142810791955,MOLM-13,GSK343,EZH2,wilcox,cDC-like,-3.1394146059774566,GSK343 [MOLM-13]
0,Mono-like,2.309401,23.502478,0.020921335337794014,MOLM-13,GSK3186000A+GSK343,PRMT5 + EZH2,wilcox,Mono-like,3.8669858111440156,GSK3186000A+GSK343 [MOLM-13]
1,LSPC-Primed,2.309401,0.36842185,0.020921335337794014,MOLM-13,GSK3186000A+GSK343,PRMT5 + EZH2,wilcox,LSPC-Primed,3.8669858111440156,GSK3186000A+GSK343 [MOLM-13]
2,GMP-like,2.309401,0.89339936,0.020921335337794014,MOLM-13,GSK3186000A+GSK343,PRMT5 + EZH2,wilcox,GMP-like,3.8669858111440156,GSK3186000A+GSK343 [MOLM-13]
3,ProMono-like,-0.57735026,-20.66318,0.5637028616507731,MOLM-13,GSK3186000A+GSK343,PRMT5 + EZH2,wilcox,ProMono-like,-0.5732280073583128,GSK3186000A+GSK343 [MOLM-13]
4,PC2,-1.1547005,0.4136117,0.24821307898992362,MOLM-13,GSK3186000A+GSK343,PRMT5 + EZH2,wilcox,PC2,-1.3934677122336503,GSK3186000A+GSK343 [MOLM-13]
5,cDC-like,-1.7320508,-0.13624842,0.0832645166635504,MOLM-13,GSK3186000A+GSK343,PRMT5 + EZH2,wilcox,cDC-like,-2.48573279098608,GSK3186000A+GSK343 [MOLM-13]
6,LSPC-Quiescent,-2.309401,-1.8776093,0.020921335337794014,MOLM-13,GSK3186000A+GSK343,PRMT5 + EZH2,wilcox,LSPC-Quiescent,-3.8669858111440156,GSK3186000A+GSK343 [MOLM-13]
7,LSPC-Cycle,-2.309401,-2.851003,0.020921335337794014,MOLM-13,GSK3186000A+GSK343,PRMT5 + EZH2,wilcox,LSPC-Cycle,-3.8669858111440156,GSK3186000A+GSK343 [MOLM-13]
0,PC2,1.963961,-1.5806482,0.049534613435626706,AP-1060,ATRA,RARA,wilcox,PC2,3.005083592450989,ATRA [AP-1060]
1,cDC-like,1.963961,0.6518401,0.049534613435626706,AP-1060,ATRA,RARA,wilcox,cDC-like,3.005083592450989,ATRA [AP-1060]
2,Mono-like,1.963961,2.40358,0.049534613435626706,AP-1060,ATRA,RARA,wilcox,Mono-like,3.005083592450989,ATRA [AP-1060]
3,ProMono-like,0.0,0.0,1.0,AP-1060,ATRA,RARA,wilcox,ProMono-like,-0.0,ATRA [AP-1060]
4,LSPC-Quiescent,0.0,0.0,1.0,AP-1060,ATRA,RARA,wilcox,LSPC-Quiescent,-0.0,ATRA [AP-1060]
5,LSPC-Primed,-1.0910895,-0.20162742,0.27523352407483426,AP-1060,ATRA,RARA,wilcox,LSPC-Primed,-1.2901353632096608,ATRA [AP-1060]
6,LSPC-Cycle,-1.963961,-26.098019,0.049534613435626706,AP-1060,ATRA,RARA,wilcox,LSPC-Cycle,-3.005083592450989,ATRA [AP-1060]
7,GMP-like,-1.963961,-0.11423294,0.049534613435626706,AP-1060,ATRA,RARA,wilcox,GMP-like,-3.005083592450989,ATRA [AP-1060]
0,LSPC-Quiescent,1.963961,27.633863,0.049534613435626706,AP-1060,TSA,HDAC,wilcox,LSPC-Quiescent,3.005083592450989,TSA [AP-1060]
1,LSPC-Primed,1.963961,0.8271874,0.049534613435626706,AP-1060,TSA,HDAC,wilcox,LSPC-Primed,3.005083592450989,TSA [AP-1060]
2,LSPC-Cycle,1.963961,1.3831489,0.049534613435626706,AP-1060,TSA,HDAC,wilcox,LSPC-Cycle,3.005083592450989,TSA [AP-1060]
3,ProMono-like,0.0,0.0,1.0,AP-1060,TSA,HDAC,wilcox,ProMono-like,-0.0,TSA [AP-1060]
4,PC2,-1.963961,0.62649584,0.049534613435626706,AP-1060,TSA,HDAC,wilcox,PC2,-3.005083592450989,TSA [AP-1060]
5,cDC-like,-1.963961,-0.11353892,0.049534613435626706,AP-1060,TSA,HDAC,wilcox,cDC-like,-3.005083592450989,TSA [AP-1060]
6,Mono-like,-1.963961,-0.2959438,0.049534613435626706,AP-1060,TSA,HDAC,wilcox,Mono-like,-3.005083592450989,TSA [AP-1060]
7,GMP-like,-1.963961,-1.7813407,0.049534613435626706,AP-1060,TSA,HDAC,wilcox,GMP-like,-3.005083592450989,TSA [AP-1060]
0,PC2,1.963961,-2.1401603,0.049534613435626706,AP-1060,ATRA + TSA,RARA + HDAC,wilcox,PC2,3.005083592450989,ATRA + TSA [AP-1060]
1,cDC-like,1.963961,0.7935076,0.049534613435626706,AP-1060,ATRA + TSA,RARA + HDAC,wilcox,cDC-like,3.005083592450989,ATRA + TSA [AP-1060]
2,Mono-like,1.963961,2.6726437,0.049534613435626706,AP-1060,ATRA + TSA,RARA + HDAC,wilcox,Mono-like,3.005083592450989,ATRA + TSA [AP-1060]
3,LSPC-Primed,1.963961,0.56807697,0.049534613435626706,AP-1060,ATRA + TSA,RARA + HDAC,wilcox,LSPC-Primed,3.005083592450989,ATRA + TSA [AP-1060]
4,LSPC-Quiescent,1.3093073,22.916494,0.19043026382552397,AP-1060,ATRA + TSA,RARA + HDAC,wilcox,LSPC-Quiescent,1.6584692205924063,ATRA + TSA [AP-1060]
5,ProMono-like,0.0,0.0,1.0,AP-1060,ATRA + TSA,RARA + HDAC,wilcox,ProMono-like,-0.0,ATRA + TSA [AP-1060]
6,LSPC-Cycle,-1.963961,-26.098019,0.049534613435626706,AP-1060,ATRA + TSA,RARA + HDAC,wilcox,LSPC-Cycle,-3.005083592450989,ATRA + TSA [AP-1060]
7,GMP-like,-1.963961,-0.5799181,0.049534613435626706,AP-1060,ATRA + TSA,RARA + HDAC,wilcox,GMP-like,-3.005083592450989,ATRA + TSA [AP-1060]
0,PC2,1.963961,-1.2056706,0.049534613435626706,HL60,ATRA,RARA,wilcox,PC2,3.005083592450989,ATRA [HL60]
1,cDC-like,1.963961,1.1893896,0.049534613435626706,HL60,ATRA,RARA,wilcox,cDC-like,3.005083592450989,ATRA [HL60]
2,Mono-like,1.963961,1.2888951,0.049534613435626706,HL60,ATRA,RARA,wilcox,Mono-like,3.005083592450989,ATRA [HL60]
3,LSPC-Primed,1.963961,0.7954122,0.049534613435626706,HL60,ATRA,RARA,wilcox,LSPC-Primed,3.005083592450989,ATRA [HL60]
4,LSPC-Cycle,0.0,0.0,1.0,HL60,ATRA,RARA,wilcox,LSPC-Cycle,-0.0,ATRA [HL60]
5,LSPC-Quiescent,-0.65465367,-22.179993,0.5126907602619233,HL60,ATRA,RARA,wilcox,LSPC-Quiescent,-0.6680824220792302,ATRA [HL60]
